week,n,mean_sent,neg_share,political_share,crime_share,pri,event
2018-08-27,1,0.998132050037384,0.0,1.0,0.0,79.83297211583061,Jammeh exile
2019-07-15,1,0.9955379962921144,1.0,0.0,0.0,69.57442820677751,
2019-09-16,1,0.9663708209991456,1.0,1.0,1.0,36.667396874049054,
2019-11-04,1,0.7786230444908142,0.0,1.0,0.0,57.95496882856072,
2019-12-02,1,0.9462302923202516,0.0,1.0,1.0,64.6600325221992,
2020-03-16,1,0.9667537212371826,1.0,0.0,1.0,56.705559739602606,COVID-19 declared
2021-07-12,1,0.9981120824813844,1.0,1.0,1.0,39.83098199130377,
2021-09-20,1,0.9973939657211304,1.0,0.0,0.0,69.75940879638013,2021 presidential election
2022-05-09,2,0.9967732131481171,0.0,1.0,1.0,69.69753968627619,2022 National Assembly elections
2023-06-05,1,0.9805155992507936,1.0,0.0,0.0,68.07717732618455,
2023-07-10,1,0.9995538592338562,0.0,1.0,0.0,79.97468086348238,
2023-08-21,1,0.9991003274917604,0.0,1.0,0.0,79.92947830370699,
2023-08-28,1,0.9980897307395936,0.0,0.0,1.0,89.82875423996775,
2023-09-25,144,0.948029189887974,0.5694444444444444,0.7916666666666666,0.5277777777777778,56.64488043435804,
2024-07-15,2,0.9976612329483032,0.0,0.5,0.5,84.7860467616887,
2024-07-29,1,0.9424409866333008,1.0,1.0,0.0,44.28236035303622,
2024-08-12,1,0.9931069016456604,0.0,0.0,1.0,89.33212609013157,
2024-09-23,2,0.9976701438426971,0.5,0.0,0.0,84.786934891888,
2024-10-07,1,0.986151397228241,0.0,0.0,0.0,98.63888551838363,
2024-10-28,1,0.9984601736068726,0.0,0.0,0.0,99.86567550544338,
2025-02-17,1,0.9082267880439758,1.0,1.0,0.0,40.87230276863452,
2025-03-10,1,0.999204695224762,0.0,1.0,1.0,69.93988041727863,
2025-03-24,1,0.9968273043632508,0.0,0.0,1.0,89.70293084450935,
2025-03-31,1,0.6186651587486267,1.0,1.0,1.0,2.0123010488104778,
2025-04-14,1,0.9989643096923828,0.0,1.0,1.0,69.91592169424352,
2025-04-28,2,0.8400249481201172,0.5,1.0,0.0,49.07476808737301,
2025-05-05,1,0.8179429173469543,1.0,0.0,0.0,51.873898284141376,
2025-05-12,2,0.9381963908672332,0.0,0.0,0.0,93.85931037432607,
2025-05-19,2,0.7992079555988312,0.5,0.0,0.0,65.00662384730576,
2025-05-26,1,0.9820479154586792,0.0,1.0,1.0,68.22990007644158,
2025-06-02,2,0.988439291715622,0.0,0.5,0.0,88.8669151748035,
2025-06-09,4,0.8385880291461945,0.25,0.25,0.25,68.93155337981808,
2025-07-07,1,0.8107437491416931,1.0,1.0,1.0,21.15637225249572,
2025-07-14,1,0.7728691101074219,1.0,1.0,0.0,27.381486227966988,
2025-08-18,2,0.9622304737567902,0.5,1.0,1.0,51.25473712757012,
2025-08-25,3,0.9813571373621622,0.0,1.0,0.6666666666666666,71.49438500226316,
2025-09-01,2,0.9937343895435333,1.0,1.0,0.0,49.39466649597142,
2025-09-08,2,0.9982858300209045,0.0,0.5,0.5,84.84829904502243,
2025-09-15,2,0.9855593144893646,0.5,1.0,0.5,58.57987387066005,
2025-09-29,1,0.9790357947349548,0.0,1.0,1.0,67.92968830639958,
2025-10-06,1,0.9922427535057068,1.0,1.0,1.0,39.24599825314593,
2025-10-20,1,0.9998078942298888,0.0,1.0,0.0,80.0,
2025-12-01,1,0.9903958439826964,0.0,1.0,1.0,69.06192064541818,
2025-12-15,1,0.9814997911453248,1.0,1.0,1.0,38.17526967301217,
2026-01-05,2,0.8447572588920593,0.0,1.0,0.5,59.546427600235084,
2026-01-12,1,0.992749035358429,1.0,1.0,0.0,49.29645830607433,
2026-01-19,1,0.5984750986099243,1.0,1.0,1.0,0.0,
2026-03-09,3,0.9448897043863932,0.0,0.3333333333333333,0.6666666666666666,81.19308559451332,
2026-03-16,2,0.965796023607254,0.5,1.0,0.5,56.61010802069196,
2026-03-23,7,0.9739533577646527,0.5714285714285714,1.0,0.42857142857142855,55.9945610193715,
2026-03-30,5,0.9837069153785706,0.6,0.8,0.6,58.395249127204174,
2026-04-06,9,0.9349755843480428,0.8888888888888888,0.8888888888888888,0.7777777777777778,41.31607710547709,
2026-04-13,8,0.9502162486314774,0.5,0.75,0.5,60.05730444761645,
2026-04-20,16,0.9329670444130898,0.6875,0.6875,0.5,53.96311235500496,
2026-04-27,17,0.9377129814204048,0.47058823529411764,0.8235294117647058,0.35294117647058826,59.6934829074119,
2026-05-04,117,0.9505726231469048,0.5299145299145299,0.6324786324786325,0.452991452991453,62.01590047297625,
